variant,episode,seed,immediate_left_joint_id,immediate_right_joint_id,immediate_left_qpos_m,immediate_right_qpos_m,immediate_left_target_qpos_m,immediate_right_target_qpos_m,immediate_left_qvel,immediate_right_qvel,immediate_left_target_qvel,immediate_right_target_qvel,after_sync_left_joint_id,after_sync_right_joint_id,after_sync_left_qpos_m,after_sync_right_qpos_m,after_sync_left_target_qpos_m,after_sync_right_target_qpos_m,after_sync_left_qvel,after_sync_right_qvel,after_sync_left_target_qvel,after_sync_right_target_qvel,after_obs_left_joint_id,after_obs_right_joint_id,after_obs_left_qpos_m,after_obs_right_qpos_m,after_obs_left_target_qpos_m,after_obs_right_target_qpos_m,after_obs_left_qvel,after_obs_right_qvel,after_obs_left_target_qvel,after_obs_right_target_qvel,left_link6_x_m,left_link6_y_m,left_link6_z_m,right_link6_x_m,right_link6_y_m,right_link6_z_m
baseline,1,209652396,12,14,0.04522574320435524,-1.454350098128998e-07,0.04522505775094032,0.0,-0.00018638206529431045,8.067545422818512e-05,0.0,0.0,12,14,0.04522574320435524,-1.454350098128998e-07,0.04522505775094032,0.0,-0.00018638206529431045,8.067545422818512e-05,0.0,0.0,12,14,0.04522574320435524,-1.454350098128998e-07,0.04522505775094032,0.0,-0.00018638206529431045,8.067545422818512e-05,0.0,0.0,0.28238430619239807,0.2823953926563263,1.0657752752304077,0.284331738948822,-0.2976783215999603,1.0695523023605347
baseline,2,398764591,12,14,2.3702146734194685e-07,-3.2305155883705083e-08,0.0,0.0,-0.00012308266013860703,2.553520243964158e-05,0.0,0.0,12,14,2.3702146734194685e-07,-3.2305155883705083e-08,0.0,0.0,-0.00012308266013860703,2.553520243964158e-05,0.0,0.0,12,14,2.3702146734194685e-07,-3.2305155883705083e-08,0.0,0.0,-0.00012308266013860703,2.553520243964158e-05,0.0,0.0,0.2859395742416382,0.2862395942211151,1.0537997484207153,0.27890545129776,-0.3110666573047638,1.0731514692306519
baseline,3,924231285,12,14,0.021193308755755424,-3.3796169418565114e-07,0.021189941093325615,0.0,-0.00018682301742956042,0.00019156945927534252,0.0,0.0,12,14,0.021193308755755424,-3.3796169418565114e-07,0.021189941093325615,0.0,-0.00018682301742956042,0.00019156945927534252,0.0,0.0,12,14,0.021193308755755424,-3.3796169418565114e-07,0.021189941093325615,0.0,-0.00018682301742956042,0.00019156945927534252,0.0,0.0,0.2853289246559143,0.29491421580314636,1.0781420469284058,0.2776566445827484,-0.30180102586746216,1.0780408382415771
baseline,4,1478610112,12,14,0.013156590983271599,2.4625686023682647e-07,0.013155370950698853,0.0,3.8754078559577465e-05,-0.0001388964446960017,0.0,0.0,12,14,0.013156590983271599,2.4625686023682647e-07,0.013155370950698853,0.0,3.8754078559577465e-05,-0.0001388964446960017,0.0,0.0,12,14,0.013156590983271599,2.4625686023682647e-07,0.013155370950698853,0.0,3.8754078559577465e-05,-0.0001388964446960017,0.0,0.0,0.28169500827789307,0.2931795120239258,1.0664833784103394,0.280915766954422,-0.29763567447662354,1.0682700872421265
baseline,5,441365315,12,14,1.5106340356396686e-07,-1.8665586765109765e-07,0.0,0.0,-7.229940820252523e-05,0.0001046744073391892,0.0,0.0,12,14,1.5106340356396686e-07,-1.8665586765109765e-07,0.0,0.0,-7.229940820252523e-05,0.0001046744073391892,0.0,0.0,12,14,1.5106340356396686e-07,-1.8665586765109765e-07,0.0,0.0,-7.229940820252523e-05,0.0001046744073391892,0.0,0.0,0.28761962056159973,0.3012830317020416,1.072985053062439,0.2768334150314331,-0.29725199937820435,1.0795739889144897
baseline,6,1537364731,12,14,-2.083229304616907e-07,3.0721008670298033e-07,0.0,0.0,0.00011304109648335725,-0.00017766891687642783,0.0,0.0,12,14,-2.083229304616907e-07,3.0721008670298033e-07,0.0,0.0,0.00011304109648335725,-0.00017766891687642783,0.0,0.0,12,14,-2.083229304616907e-07,3.0721008670298033e-07,0.0,0.0,0.00011304109648335725,-0.00017766891687642783,0.0,0.0,0.28363925218582153,0.294918417930603,1.06636381149292,0.2787925601005554,-0.298725962638855,1.0846256017684937
baseline,7,192771779,12,14,0.01788313500583172,3.3737993732074756e-08,0.017880503088235855,0.0,-3.3783584513003007e-05,-1.834326576499734e-05,0.0,0.0,12,14,0.01788313500583172,3.3737993732074756e-08,0.017880503088235855,0.0,-3.3783584513003007e-05,-1.834326576499734e-05,0.0,0.0,12,14,0.01788313500583172,3.3737993732074756e-08,0.017880503088235855,0.0,-3.3783584513003007e-05,-1.834326576499734e-05,0.0,0.0,0.2850046157836914,0.2916904389858246,1.04832923412323,0.2785533368587494,-0.2903897166252136,1.059920310974121
baseline,8,1491434855,12,14,0.02613167278468609,-2.7930289547839493e-07,0.02613096311688423,0.0,-1.9859311578329653e-05,0.00016287239850498736,0.0,0.0,12,14,0.02613167278468609,-2.7930289547839493e-07,0.02613096311688423,0.0,-1.9859311578329653e-05,0.00016287239850498736,0.0,0.0,12,14,0.02613167278468609,-2.7930289547839493e-07,0.02613096311688423,0.0,-1.9859311578329653e-05,0.00016287239850498736,0.0,0.0,0.2838006913661957,0.2931128740310669,1.0707621574401855,0.27635279297828674,-0.3049863576889038,1.0964722633361816
baseline,9,1819583497,12,14,0.03193854168057442,2.434691452890547e-07,0.031937409192323685,0.0,-2.9541202820837498e-05,-0.00013502391811925918,0.0,0.0,12,14,0.03193854168057442,2.434691452890547e-07,0.031937409192323685,0.0,-2.9541202820837498e-05,-0.00013502391811925918,0.0,0.0,12,14,0.03193854168057442,2.434691452890547e-07,0.031937409192323685,0.0,-2.9541202820837498e-05,-0.00013502391811925918,0.0,0.0,0.2835400104522705,0.29203736782073975,1.046741247177124,0.2844884395599365,-0.29965582489967346,1.0893363952636719
baseline,10,530702035,12,14,0.0025049017276614904,3.1548947276860417e-07,0.002504294039681554,0.0,-0.0001479081402067095,-0.0001869950065156445,0.0,0.0,12,14,0.0025049017276614904,3.1548947276860417e-07,0.002504294039681554,0.0,-0.0001479081402067095,-0.0001869950065156445,0.0,0.0,12,14,0.0025049017276614904,3.1548947276860417e-07,0.002504294039681554,0.0,-0.0001479081402067095,-0.0001869950065156445,0.0,0.0,0.2883796989917755,0.29099491238594055,1.0523122549057007,0.28167611360549927,-0.297159343957901,1.0757994651794434
