variant,episode,seed,immediate_left_joint_id,immediate_right_joint_id,immediate_left_qpos_m,immediate_right_qpos_m,immediate_left_target_qpos_m,immediate_right_target_qpos_m,immediate_left_qvel,immediate_right_qvel,immediate_left_target_qvel,immediate_right_target_qvel,after_sync_left_joint_id,after_sync_right_joint_id,after_sync_left_qpos_m,after_sync_right_qpos_m,after_sync_left_target_qpos_m,after_sync_right_target_qpos_m,after_sync_left_qvel,after_sync_right_qvel,after_sync_left_target_qvel,after_sync_right_target_qvel,after_obs_left_joint_id,after_obs_right_joint_id,after_obs_left_qpos_m,after_obs_right_qpos_m,after_obs_left_target_qpos_m,after_obs_right_target_qpos_m,after_obs_left_qvel,after_obs_right_qvel,after_obs_left_target_qvel,after_obs_right_target_qvel,left_link6_x_m,left_link6_y_m,left_link6_z_m,right_link6_x_m,right_link6_y_m,right_link6_z_m
no_robot_random,1,209652396,12,14,-6.230751026237158e-09,-2.432942736163568e-08,0.0,0.0,3.254906005167868e-06,9.877587217488326e-06,0.0,0.0,12,14,-6.230751026237158e-09,-2.432942736163568e-08,0.0,0.0,3.254906005167868e-06,9.877587217488326e-06,0.0,0.0,12,14,-6.230751026237158e-09,-2.432942736163568e-08,0.0,0.0,3.254906005167868e-06,9.877587217488326e-06,0.0,0.0,0.28127315640449524,0.29354536533355713,1.0646719932556152,0.27576494216918945,-0.29926005005836487,1.0821263790130615
no_robot_random,2,398764591,12,14,-6.290540532916111e-09,-2.4066782344789317e-08,0.0,0.0,3.2567950256634504e-06,9.874860552372411e-06,0.0,0.0,12,14,-6.290540532916111e-09,-2.4066782344789317e-08,0.0,0.0,3.2567950256634504e-06,9.874860552372411e-06,0.0,0.0,12,14,-6.290540532916111e-09,-2.4066782344789317e-08,0.0,0.0,3.2567950256634504e-06,9.874860552372411e-06,0.0,0.0,0.28127315640449524,0.29354536533355713,1.0646719932556152,0.27576494216918945,-0.29926005005836487,1.0821263790130615
no_robot_random,3,924231285,12,14,-6.307449673670362e-09,-2.3529450388082296e-08,0.0,0.0,3.256303898524493e-06,9.873446288111154e-06,0.0,0.0,12,14,-6.307449673670362e-09,-2.3529450388082296e-08,0.0,0.0,3.256303898524493e-06,9.873446288111154e-06,0.0,0.0,12,14,-6.307449673670362e-09,-2.3529450388082296e-08,0.0,0.0,3.256303898524493e-06,9.873446288111154e-06,0.0,0.0,0.28127315640449524,0.29354536533355713,1.0646719932556152,0.27576494216918945,-0.29926005005836487,1.0821263790130615
no_robot_random,4,1478610112,12,14,-6.302020238990735e-09,-2.3504272306240637e-08,0.0,0.0,3.2568432288826443e-06,9.87298244581325e-06,0.0,0.0,12,14,-6.302020238990735e-09,-2.3504272306240637e-08,0.0,0.0,3.2568432288826443e-06,9.87298244581325e-06,0.0,0.0,12,14,-6.302020238990735e-09,-2.3504272306240637e-08,0.0,0.0,3.2568432288826443e-06,9.87298244581325e-06,0.0,0.0,0.28127315640449524,0.29354536533355713,1.0646719932556152,0.27576494216918945,-0.29926005005836487,1.0821263790130615
no_robot_random,5,441365315,12,14,-6.294754939517588e-09,-2.4183583136050402e-08,0.0,0.0,3.2557018130319193e-06,9.876748663373291e-06,0.0,0.0,12,14,-6.294754939517588e-09,-2.4183583136050402e-08,0.0,0.0,3.2557018130319193e-06,9.876748663373291e-06,0.0,0.0,12,14,-6.294754939517588e-09,-2.4183583136050402e-08,0.0,0.0,3.2557018130319193e-06,9.876748663373291e-06,0.0,0.0,0.28127315640449524,0.29354536533355713,1.0646719932556152,0.27576494216918945,-0.29926005005836487,1.0821263790130615
no_robot_random,6,1537364731,12,14,-6.294670118478507e-09,-2.4271988863233673e-08,0.0,0.0,3.256772288295906e-06,9.877190677798353e-06,0.0,0.0,12,14,-6.294670118478507e-09,-2.4271988863233673e-08,0.0,0.0,3.256772288295906e-06,9.877190677798353e-06,0.0,0.0,12,14,-6.294670118478507e-09,-2.4271988863233673e-08,0.0,0.0,3.256772288295906e-06,9.877190677798353e-06,0.0,0.0,0.28127315640449524,0.29354536533355713,1.0646719932556152,0.27576494216918945,-0.29926005005836487,1.0821263790130615
no_robot_random,7,192771779,12,14,-6.311932754243799e-09,-2.4185847991020637e-08,0.0,0.0,3.256936906836927e-06,9.8764448921429e-06,0.0,0.0,12,14,-6.311932754243799e-09,-2.4185847991020637e-08,0.0,0.0,3.256936906836927e-06,9.8764448921429e-06,0.0,0.0,12,14,-6.311932754243799e-09,-2.4185847991020637e-08,0.0,0.0,3.256936906836927e-06,9.8764448921429e-06,0.0,0.0,0.28127315640449524,0.29354536533355713,1.0646719932556152,0.27576494216918945,-0.29926005005836487,1.0821263790130615
no_robot_random,8,1491434855,12,14,-6.3118470450262976e-09,-2.4276774368559018e-08,0.0,0.0,3.256343916291371e-06,9.877488082565833e-06,0.0,0.0,12,14,-6.3118470450262976e-09,-2.4276774368559018e-08,0.0,0.0,3.256343916291371e-06,9.877488082565833e-06,0.0,0.0,12,14,-6.3118470450262976e-09,-2.4276774368559018e-08,0.0,0.0,3.256343916291371e-06,9.877488082565833e-06,0.0,0.0,0.28127315640449524,0.29354536533355713,1.0646719932556152,0.27576494216918945,-0.29926005005836487,1.0821263790130615
no_robot_random,9,1819583497,12,14,-6.2889196073001585e-09,-2.427813150518432e-08,0.0,0.0,3.2561692933086306e-06,9.877780030365102e-06,0.0,0.0,12,14,-6.2889196073001585e-09,-2.427813150518432e-08,0.0,0.0,3.2561692933086306e-06,9.877780030365102e-06,0.0,0.0,12,14,-6.2889196073001585e-09,-2.427813150518432e-08,0.0,0.0,3.2561692933086306e-06,9.877780030365102e-06,0.0,0.0,0.28127315640449524,0.29354536533355713,1.0646719932556152,0.27576494216918945,-0.29926005005836487,1.0821263790130615
no_robot_random,10,530702035,12,14,-6.301281274545545e-09,-2.4296690881442373e-08,0.0,0.0,3.2558618840994313e-06,9.877654520096257e-06,0.0,0.0,12,14,-6.301281274545545e-09,-2.4296690881442373e-08,0.0,0.0,3.2558618840994313e-06,9.877654520096257e-06,0.0,0.0,12,14,-6.301281274545545e-09,-2.4296690881442373e-08,0.0,0.0,3.2558618840994313e-06,9.877654520096257e-06,0.0,0.0,0.28127315640449524,0.29354536533355713,1.0646719932556152,0.27576494216918945,-0.29926005005836487,1.0821263790130615
