variant,episode,seed,immediate_left_joint_id,immediate_right_joint_id,immediate_left_qpos_m,immediate_right_qpos_m,immediate_left_target_qpos_m,immediate_right_target_qpos_m,immediate_left_qvel,immediate_right_qvel,immediate_left_target_qvel,immediate_right_target_qvel,after_sync_left_joint_id,after_sync_right_joint_id,after_sync_left_qpos_m,after_sync_right_qpos_m,after_sync_left_target_qpos_m,after_sync_right_target_qpos_m,after_sync_left_qvel,after_sync_right_qvel,after_sync_left_target_qvel,after_sync_right_target_qvel,after_obs_left_joint_id,after_obs_right_joint_id,after_obs_left_qpos_m,after_obs_right_qpos_m,after_obs_left_target_qpos_m,after_obs_right_target_qpos_m,after_obs_left_qvel,after_obs_right_qvel,after_obs_left_target_qvel,after_obs_right_target_qvel,left_link6_x_m,left_link6_y_m,left_link6_z_m,right_link6_x_m,right_link6_y_m,right_link6_z_m
baseline,1,209652396,12,14,-5.256924850982614e-07,-2.385729089837696e-07,0.0,0.0,0.00030760199297219515,0.0001314956898568198,0.0,0.0,12,14,-5.256924850982614e-07,-2.385729089837696e-07,0.0,0.0,0.00030760199297219515,0.0001314956898568198,0.0,0.0,12,14,-5.256924850982614e-07,-2.385729089837696e-07,0.0,0.0,0.00030760199297219515,0.0001314956898568198,0.0,0.0,0.2829357087612152,0.289276659488678,1.0704233646392822,0.2838670611381531,-0.2980002462863922,1.0671725273132324
baseline,2,398764591,12,14,3.486994160084578e-07,1.260891053789237e-07,0.0,0.0,-0.00019596076162997633,-6.42393424641341e-05,0.0,0.0,12,14,3.486994160084578e-07,1.260891053789237e-07,0.0,0.0,-0.00019596076162997633,-6.42393424641341e-05,0.0,0.0,12,14,3.486994160084578e-07,1.260891053789237e-07,0.0,0.0,-0.00019596076162997633,-6.42393424641341e-05,0.0,0.0,0.2858770191669464,0.2851191759109497,1.0541744232177734,0.2789295017719269,-0.3100259006023407,1.073412537574768
baseline,3,924231285,12,14,1.606024255806915e-07,1.1153062473567843e-07,0.0,0.0,-8.954142685979605e-05,-7.042235665721819e-05,0.0,0.0,12,14,1.606024255806915e-07,1.1153062473567843e-07,0.0,0.0,-8.954142685979605e-05,-7.042235665721819e-05,0.0,0.0,12,14,1.606024255806915e-07,1.1153062473567843e-07,0.0,0.0,-8.954142685979605e-05,-7.042235665721819e-05,0.0,0.0,0.285196989774704,0.2939397394657135,1.0778608322143555,0.2772729992866516,-0.30259421467781067,1.0735713243484497
baseline,4,1478610112,12,14,1.3043538160673052e-07,1.0846115827689573e-07,0.0,0.0,-8.415959746344015e-05,-6.523506453959271e-05,0.0,0.0,12,14,1.3043538160673052e-07,1.0846115827689573e-07,0.0,0.0,-8.415959746344015e-05,-6.523506453959271e-05,0.0,0.0,12,14,1.3043538160673052e-07,1.0846115827689573e-07,0.0,0.0,-8.415959746344015e-05,-6.523506453959271e-05,0.0,0.0,0.2811683714389801,0.2915244996547699,1.0618544816970825,0.2811766564846039,-0.2982337474822998,1.0699163675308228
baseline,5,441365315,12,14,1.1064958016504534e-07,3.010931663993688e-07,0.0,0.0,-6.297167419688776e-05,-0.00017349835252389312,0.0,0.0,12,14,1.1064958016504534e-07,3.010931663993688e-07,0.0,0.0,-6.297167419688776e-05,-0.00017349835252389312,0.0,0.0,12,14,1.1064958016504534e-07,3.010931663993688e-07,0.0,0.0,-6.297167419688776e-05,-0.00017349835252389312,0.0,0.0,0.28757554292678833,0.2994646430015564,1.0763838291168213,0.2763015329837799,-0.2982798218727112,1.073776364326477
baseline,6,1537364731,12,14,3.0815959917163127e-07,2.691315899028268e-07,0.0,0.0,-0.00017544197908136994,-0.00016052156570367515,0.0,0.0,12,14,3.0815959917163127e-07,2.691315899028268e-07,0.0,0.0,-0.00017544197908136994,-0.00016052156570367515,0.0,0.0,12,14,3.0815959917163127e-07,2.691315899028268e-07,0.0,0.0,-0.00017544197908136994,-0.00016052156570367515,0.0,0.0,0.2829121947288513,0.2931455969810486,1.0604044198989868,0.27891236543655396,-0.30012449622154236,1.085302472114563
baseline,7,192771779,12,14,-3.1484628948419413e-07,-2.797906404339301e-07,0.0,0.0,0.00017914953059516847,0.00015355704817920923,0.0,0.0,12,14,-3.1484628948419413e-07,-2.797906404339301e-07,0.0,0.0,0.00017914953059516847,0.00015355704817920923,0.0,0.0,12,14,-3.1484628948419413e-07,-2.797906404339301e-07,0.0,0.0,0.00017914953059516847,0.00015355704817920923,0.0,0.0,0.2856595516204834,0.29302334785461426,1.0514428615570068,0.2793726921081543,-0.29051682353019714,1.0652532577514648
baseline,8,1491434855,12,14,-1.9385224447887595e-07,2.955866307274846e-07,0.0,0.0,0.00011217461724299937,-0.00017312209820374846,0.0,0.0,12,14,-1.9385224447887595e-07,2.955866307274846e-07,0.0,0.0,0.00011217461724299937,-0.00017312209820374846,0.0,0.0,12,14,-1.9385224447887595e-07,2.955866307274846e-07,0.0,0.0,0.00011217461724299937,-0.00017312209820374846,0.0,0.0,0.2839236557483673,0.2934427857398987,1.0717060565948486,0.276122510433197,-0.31007540225982666,1.0899572372436523
baseline,9,1819583497,12,14,-3.43086327347919e-07,3.9494645420745655e-07,0.0,0.0,0.0001934465835802257,-0.00023048167349770665,0.0,0.0,12,14,-3.43086327347919e-07,3.9494645420745655e-07,0.0,0.0,0.0001934465835802257,-0.00023048167349770665,0.0,0.0,12,14,-3.43086327347919e-07,3.9494645420745655e-07,0.0,0.0,0.0001934465835802257,-0.00023048167349770665,0.0,0.0,0.28400719165802,0.293002724647522,1.0493139028549194,0.2845672369003296,-0.2998749613761902,1.0904954671859741
baseline,10,530702035,12,14,3.3862914960991475e-07,2.7968835070169007e-07,0.0,0.0,-0.00019556525512598455,-0.00017133499204646796,0.0,0.0,12,14,3.3862914960991475e-07,2.7968835070169007e-07,0.0,0.0,-0.00019556525512598455,-0.00017133499204646796,0.0,0.0,12,14,3.3862914960991475e-07,2.7968835070169007e-07,0.0,0.0,-0.00019556525512598455,-0.00017133499204646796,0.0,0.0,0.2880188226699829,0.2895909249782562,1.0510972738265991,0.2820938229560852,-0.2974695861339569,1.0790071487426758
