episode,trace_episode,seed,fork_x_m,fork_y_m,fork_yaw_deg,spoon_x_m,spoon_y_m,spoon_yaw_deg,cam_high_fx,cam_high_fy,cam_high_cx,cam_high_cy,cam_high_pose_json,robot_qpos_json,robot_qvel_json,active_distractors_json,cam_high_sha256,cam_right_wrist_sha256
1,0,209652396,0.543931245803833,0.28127095103263855,43.38590829144846,0.5831655859947205,-0.2549879550933838,9.612639512478472,645.713623046875,591.4397583007812,320.54931640625,245.87710571289062,"[0.25704601407051086, 0.04938200116157532, 1.4596890211105347, -0.6924327611923218, -0.12181580811738968, 0.12393108010292053, 0.7002420425415039]","[0.21741683781147003, 0.10485003888607025, 1.0642041161190718e-05, 0.0646076574921608, -0.12673363089561462, -0.1790931522846222, -0.8236539363861084, -0.09044431149959564, 0.3238188624382019, 0.4178065061569214, 0.896852433681488, 0.12948980927467346, -5.292017135616334e-07, -1.1855129741888959e-05, -2.377419576760076e-07, -5.090192189527443e-06]","[2.346246037632227e-05, 1.2458035598683637e-05, -0.0008208468789234757, 9.63679194683209e-05, -0.01163142453879118, -0.014009333215653896, 0.019466685131192207, 0.00550092151388526, -0.0005135693936608732, -0.0006259647780098021, -0.00012963617336936295, -0.00014150443894322962, 0.000307474285364151, 0.0003074743435718119, 0.00013148339348845184, 0.0001314833789365366]","[{""uid"": ""distractor_pool_004_standard_spone6_center"", ""pose_xyz_qwxyz"": [0.7670069932937622, 0.04979667067527771, 0.9121405482292175, 0.3439405560493469, 0.0, 0.0, 0.9389914274215698]}, {""uid"": ""distractor_pool_007_standard_spoon_b_rescale"", ""pose_xyz_qwxyz"": [0.9479756355285645, 0.1274610161781311, 0.9001720547676086, 0.9690514206886292, 0.0, 0.0, 0.24685883522033691]}]",83fd10ff4e888e28d2ddbe0e4108ecffd243be1db821dbea32f90448be62978d,4f15059acbeebb624d2d4939208284d993d3ff4da1e464a48b43aa1ad29865fb
2,1,398764591,0.4297444820404053,0.2461731731891632,-19.389493686050404,0.5552103519439697,-0.2653360366821289,9.80932403478408,561.8948364257812,639.9431762695312,320.54931640625,245.87710571289062,"[0.25704601407051086, 0.04938200116157532, 1.4596890211105347, -0.6924327611923218, -0.12181580811738968, 0.12393108010292053, 0.7002420425415039]","[0.20123200118541718, 0.23844842612743378, 9.365550795337185e-06, 1.1062501471315045e-05, -0.07506568729877472, -0.1746012270450592, -0.9315375089645386, -0.5741134881973267, 0.3515651226043701, 0.42973875999450684, 0.8746810555458069, 0.5440413951873779, 3.5539929399419634e-07, 7.874657057982404e-06, 1.3541988153065176e-07, 2.87202146864729e-06]","[1.7456550267525017e-05, 2.2029867977835238e-05, -0.0007233357173390687, -0.0008613544632680714, -0.011518600396811962, -0.013049662113189697, 0.01722273789346218, 0.019970472902059555, 0.0003458451246842742, -0.00011766504758270457, 9.345897706225514e-05, 3.124526483588852e-05, -0.00019602745305746794, -0.00019602745305746794, -6.42961822450161e-05, -6.42961822450161e-05]","[{""uid"": ""distractor_pool_001_standard_fork_a_rescale"", ""pose_xyz_qwxyz"": [0.9332197904586792, -0.2770525813102722, 0.9030440449714661, 0.7999390363693237, 0.0, 0.0, -0.6000813245773315]}, {""uid"": ""distractor_pool_003_standard_fork_scale"", ""pose_xyz_qwxyz"": [0.9397215247154236, -0.13292230665683746, 0.9006920456886292, -0.18660996854305267, 0.0, 0.0, 0.982434093952179]}]",f01a7f59352d6d4483fdda91ce6f8bdb4e183e1d8a3fb84456f58cdb0b8b7e00,fabdadaca9f29886395343d0f97dd0a9cac4a688955f223df569ebcc524e8d6c
3,2,924231285,0.4668774902820587,0.2236228585243225,-27.444214192896375,0.43819788098335266,-0.29988500475883484,-1.171307032925426,648.9586181640625,576.7219848632812,320.54931640625,245.87710571289062,"[0.25704601407051086, 0.04938200116157532, 1.4596890211105347, -0.6924327611923218, -0.12181580811738968, 0.12393108010292053, 0.7002420425415039]","[-0.17600372433662415, 0.08876650035381317, 0.04194508492946625, 1.1541777894308325e-05, -0.1453801393508911, -0.17948397994041443, 0.18555182218551636, -0.19060564041137695, 0.19011953473091125, 0.38713538646698, -0.22008931636810303, 0.16447244584560394, 1.5252226148732007e-07, 3.5150594612787245e-06, 1.1646480402305315e-07, 2.916294079113868e-06]","[1.1476913641672581e-05, 1.4510545042867307e-05, 0.00010725964966695756, -0.0009185499511659145, -0.015632322058081627, -0.01426044013351202, -0.008946225978434086, 0.012173871509730816, -0.0008645089692436159, -0.0004699929559137672, 0.00017380036297254264, 5.841549864271656e-05, -8.950327173806727e-05, -8.950326446210966e-05, -7.04404737916775e-05, -7.04404737916775e-05]","[{""uid"": ""distractor_pool_005_standard_spone6_translate"", ""pose_xyz_qwxyz"": [0.9183894395828247, 0.15334144234657288, 0.8963666558265686, 0.7654706239700317, 0.0, 0.0, -0.6434708833694458]}, {""uid"": ""distractor_pool_010_standard_spoon_e_rescale"", ""pose_xyz_qwxyz"": [0.9305853843688965, -0.07328835129737854, 0.9133685231208801, 0.618528425693512, 0.0, 0.0, -0.7857624292373657]}]",802758297b87283c42c2422837ea9ac5f7acbe2b6ea9cb4e67a7bbe560093dd2,0828449d56acfec4eb3ac5395cada7e19681415f73ea4119234c75168b57bc8d
4,3,1478610112,0.6095220446586609,0.19170847535133362,-26.2284750293947,0.47082048654556274,-0.2151951789855957,-44.78504590827527,560.821044921875,611.9574584960938,320.54931640625,245.87710571289062,"[0.25704601407051086, 0.04938200116157532, 1.4596890211105347, -0.6924327611923218, -0.12181580811738968, 0.12393108010292053, 0.7002420425415039]","[-0.07540709525346756, 0.10975240170955658, 1.0455384654051159e-05, 0.022056255489587784, -0.12340078502893448, -0.16278685629367828, -0.17424781620502472, -0.11271817237138748, 0.3106755018234253, 0.35120296478271484, 0.14688271284103394, 0.09106136858463287, 1.2580653674376663e-07, 3.3781645925046178e-06, 1.0446222376003789e-07, 2.6479615371499676e-06]","[1.1702791198331397e-05, 1.0194720744038932e-05, -0.0008453843765892088, 0.00015141440962906927, -0.015101603232324123, -0.01474628783762455, 0.014283928088843822, 0.009093322791159153, -0.00043867898057214916, -0.0005461554392240942, 9.300259262090549e-05, 7.103464304236695e-05, -8.416170749114826e-05, -8.416170021519065e-05, -6.511398532893509e-05, -6.511397805297747e-05]","[{""uid"": ""distractor_pool_001_standard_fork_a_rescale"", ""pose_xyz_qwxyz"": [0.8665573596954346, -0.23193979263305664, 0.9154365658760071, 0.8583234548568726, 0.0, 0.0, -0.513109028339386]}, {""uid"": ""distractor_pool_010_standard_spoon_e_rescale"", ""pose_xyz_qwxyz"": [0.785601794719696, -0.11546559631824493, 0.903745710849762, 0.9965032339096069, 0.0, -9.799806521826326e-10, -0.08355370908975601]}]",a57513f9cd62dca849c38af2c18300451b21d44650afc48f158bfe884a035172,c29ea1082831cc94b6cdccdec9431622d75cc0f89813e6ebf50d3f448eb95cbf
5,4,441365315,0.5857765078544617,0.22032156586647034,41.26322081414124,0.4423225224018097,-0.28236159682273865,27.73528499069508,592.0455932617188,594.7802124023438,320.54931640625,245.87710571289062,"[0.25704601407051086, 0.04938200116157532, 1.4596890211105347, -0.6924327611923218, -0.12181580811738968, 0.12393108010292053, 0.7002420425415039]","[-0.1849067062139511, 0.01914072409272194, 0.05410934239625931, 1.1633063877525274e-05, -0.14112864434719086, -0.1863050013780594, 0.5295007824897766, 0.024969488382339478, 0.20834986865520477, 0.4029694199562073, -0.5606986284255981, -0.07753428816795349, 1.0865925048619829e-07, 2.295395916007692e-06, 2.9371108212217223e-07, 6.825026503065601e-06]","[1.3607706023321953e-05, 2.7909763957723044e-06, 9.337013034382835e-05, -0.000926764914765954, -0.01243400014936924, -0.014194797724485397, -0.021408146247267723, 0.0009122114861384034, -0.0008916927617974579, -0.0006961074541322887, 0.00010827183723449707, 0.00019502719806041569, -6.295361527008936e-05, -6.295361527008936e-05, -0.00017344429215881974, -0.00017344429215881974]","[{""uid"": ""distractor_pool_004_standard_spone6_center"", ""pose_xyz_qwxyz"": [0.9879360198974609, 0.11031907796859741, 0.9068357944488525, 0.10602589696645737, 0.0, 0.0, 0.9943633675575256]}, {""uid"": ""distractor_pool_007_standard_spoon_b_rescale"", ""pose_xyz_qwxyz"": [0.9090769290924072, -0.3343077600002289, 0.8955118060112, 0.9639657735824585, 0.0, 0.0, -0.2660263180732727]}]",4d089b7593c01e5637e4e0b27dc6f14c15b30ec34625ecc8fb4d0b3360a27bbb,ddcb65c393b6f7e99ef9974defe1af8080624f5fd2132d3f7a7dc42255b179f3
6,5,1537364731,0.5283182859420776,0.19295461475849152,-13.808003711669388,0.5575116872787476,-0.16075892746448517,9.907291685967174,558.30029296875,592.1690673828125,320.54931640625,245.87710571289062,"[0.25704601407051086, 0.04938200116157532, 1.4596890211105347, -0.6924327611923218, -0.12181580811738968, 0.12393108010292053, 0.7002420425415039]","[-0.03740454092621803, 0.08719770610332489, 0.01833897829055786, 0.028964564204216003, -0.12698467075824738, -0.20705680549144745, -0.1698707491159439, -0.13661974668502808, 0.3298797309398651, 0.3390894830226898, 0.11721904575824738, 0.08593811094760895, 3.010805471603817e-07, 7.010956323938444e-06, 2.7501488375492045e-07, 6.405940894183004e-06]","[1.379360219289083e-05, 1.0312323865946382e-05, 0.00023711369431111962, 3.2514271879335865e-05, -0.014919735491275787, -0.014767203480005264, 0.013666071929037571, 0.011270689778029919, -0.000414282112615183, -0.00048775848699733615, 0.0002149398933397606, 0.00019744911696761847, -0.0001754994154907763, -0.0001754994154907763, -0.00016033535939641297, -0.0001603353739483282]","[{""uid"": ""distractor_pool_003_standard_fork_scale"", ""pose_xyz_qwxyz"": [0.9867939949035645, 0.21238890290260315, 0.9090967178344727, 0.8100718855857849, 0.0, 0.0, -0.5863305926322937]}, {""uid"": ""distractor_pool_006_standard_spoon_a_rescale"", ""pose_xyz_qwxyz"": [0.8879493474960327, -0.31626588106155396, 0.9007779359817505, 0.935080349445343, 0.0, 0.0, -0.35443586111068726]}]",6a51d561cd948f840586494261c711442d7f991296238e21ba98bba1374ba424,d54e5d6898e8dc0fdc214b815e6a281809028b2f2ee89967303443615aa30152
7,6,192771779,0.5711116790771484,0.2306596338748932,-31.250645763090958,0.4894380271434784,-0.24295128881931305,25.072220690412255,632.4627685546875,591.6629638671875,320.54931640625,245.87710571289062,"[0.25704601407051086, 0.04938200116157532, 1.4596890211105347, -0.6924327611923218, -0.12181580811738968, 0.12393108010292053, 0.7002420425415039]","[-0.08216359466314316, -0.02064521051943302, 0.024740785360336304, 1.0786092389025725e-05, -0.09278625249862671, -0.1467268019914627, -0.09928406774997711, 0.32113274931907654, 0.29603680968284607, 0.37192195653915405, 0.15160727500915527, -0.2764795422554016, -3.3299025403721316e-07, -7.022656518529402e-06, -2.716957112625096e-07, -6.232165560504654e-06]","[1.2476933989091776e-05, -1.4009712685947306e-05, 0.0003057501162402332, -0.0008556687971577048, -0.015457961708307266, -0.01392004918307066, 0.008399635553359985, -0.015003501437604427, -0.0006388516048900783, -0.0006196305039338768, -0.0002724321384448558, -0.00011982143041677773, 0.00017916927754413337, 0.00017916927754413337, 0.00015348722808994353, 0.00015348722808994353]","[{""uid"": ""distractor_pool_003_standard_fork_scale"", ""pose_xyz_qwxyz"": [0.9984579086303711, 0.24979016184806824, 0.8982954025268555, 0.6033836603164673, -9.31322685637781e-10, -2.5647770018899507e-10, 0.7974510192871094]}, {""uid"": ""distractor_pool_006_standard_spoon_a_rescale"", ""pose_xyz_qwxyz"": [0.9063926339149475, -0.21159504354000092, 0.9005206227302551, 0.8453481197357178, 1.641665491628469e-17, 3.7653088980071914e-10, -0.5342158675193787]}]",ec2f3573db58c32297c5468ff7eaa3ce654489e7a85384fedf297f1b7d9300b3,92eba33239950095bec74e07ff84a5747cb20e3c99e3c349a32f7f9fbddb29ba
8,7,1491434855,0.6390467882156372,0.15685249865055084,-0.1621066196934791,0.5629536509513855,-0.24138200283050537,44.89445692007323,614.2986450195312,562.8882446289062,320.54931640625,245.87710571289062,"[0.25704601407051086, 0.04938200116157532, 1.4596890211105347, -0.6924327611923218, -0.12181580811738968, 0.12393108010292053, 0.7002420425415039]","[-0.06284219771623611, 0.2326207011938095, 0.040554046630859375, 0.023814305663108826, -0.1550578624010086, -0.24031122028827667, -0.1275942474603653, -0.5096346139907837, 0.2931750416755676, 0.46090248227119446, 0.1598580926656723, 0.4446583688259125, -1.9984609878065385e-07, -4.357204488769639e-06, 3.1137091127675376e-07, 7.16467184247449e-06]","[1.317369969910942e-05, 2.347333065699786e-05, 0.00011108908802270889, 0.00012448533379938453, -0.015310474671423435, -0.013021046295762062, 0.010634191334247589, 0.018259162083268166, -0.0005947246681898832, -9.472560486756265e-05, -0.0001822049089241773, 0.0001133586629293859, 0.00011191068915650249, 0.00011191068915650249, -0.0001731282245600596, -0.00017312821000814438]","[{""uid"": ""distractor_pool_006_standard_spoon_a_rescale"", ""pose_xyz_qwxyz"": [0.875970721244812, -0.2662680745124817, 0.9154555797576904, 0.6537832021713257, 4.656613428188905e-10, 6.339456737336491e-11, -0.7566819190979004]}, {""uid"": ""distractor_pool_008_standard_spoon_c_rescale"", ""pose_xyz_qwxyz"": [0.913518488407135, 0.18744543194770813, 0.9044629335403442, 0.9870070219039917, 0.0, 0.0, 0.1606772541999817]}]",31c199c7914e83cc204dcebae6639711c39c87746c87fbc78a2727f4258b8155,d321af28e7939e17b489f1131ef409c28a55c07c139727ae8adc064da7c556dd
9,8,1819583497,0.4901023209095001,0.27261948585510254,-10.919224770702602,0.600447952747345,-0.2503364086151123,21.409704172546018,607.2117309570312,605.8800048828125,320.54931640625,245.87710571289062,"[0.25704601407051086, 0.04938200116157532, 1.4596890211105347, -0.6924327611923218, -0.12181580811738968, 0.12393108010292053, 0.7002420425415039]","[-0.08030426502227783, 0.17613688111305237, 9.405881428392604e-06, 0.07106712460517883, -0.08119506388902664, -0.21209101378917694, -0.11053159087896347, -0.3478485345840454, 0.2913365364074707, 0.29143884778022766, 0.1656644493341446, 0.2835780382156372, -3.1406938205691404e-07, -7.542839739471674e-06, 3.969503268308472e-07, 9.233525815943722e-06]","[1.3742661394644529e-05, 1.0882751666940749e-05, -0.0007695976528339088, -6.950238457648084e-05, -0.015530121512711048, -0.014338823035359383, 0.009292586706578732, 0.023639211431145668, -0.0006384108564816415, -5.100653652334586e-05, -0.00029846231336705387, 0.0002713385038077831, 0.00019341454026289284, 0.00019341454026289284, -0.00023043769760988653, -0.00023043769760988653]","[{""uid"": ""distractor_pool_004_standard_spone6_center"", ""pose_xyz_qwxyz"": [0.9025087356567383, 0.15083178877830505, 0.900639533996582, -0.2903267443180084, 0.0, 0.0, 0.9569275975227356]}, {""uid"": ""distractor_pool_007_standard_spoon_b_rescale"", ""pose_xyz_qwxyz"": [0.7966277003288269, 0.31067684292793274, 0.8922083973884583, 0.5983205437660217, 0.0, 0.0, -0.8012568354606628]}]",e6eac7286c32a86a01945b521564161c7f64c67284b2de1557b4a870f488f23a,24fcdf4f0e8ed16fb732b0213ad1af5e205f6f3d3fcfd2a4cabd305baf11a9df
10,9,530702035,0.43701615929603577,0.17208264768123627,28.01758807796446,0.6128303408622742,-0.18733768165111542,35.03104674684453,579.2681274414062,640.2239379882812,320.54931640625,245.87710571289062,"[0.25704601407051086, 0.04938200116157532, 1.4596890211105347, -0.6924327611923218, -0.12181580811738968, 0.12393108010292053, 0.7002420425415039]","[-0.10870534181594849, 0.11830893158912659, 0.045452781021595, 0.045065101236104965, -0.0838732197880745, -0.18998385965824127, -0.1901911050081253, -0.1092274859547615, 0.2573639750480652, 0.3372056186199188, 0.1362314522266388, 0.05683252215385437, 3.509161388137727e-07, 7.752683814032935e-06, 2.967375678508688e-07, 6.824428055551834e-06]","[7.4341292020108085e-06, 9.178304026136175e-06, 0.0002908668830059469, 3.911670864908956e-05, -0.01556213665753603, -0.014871238730847836, 0.018062714487314224, 0.00975376833230257, -0.00031355954706668854, -0.0005170073709450662, 0.000277405371889472, 0.00021643681975547224, -0.00019548455020412803, -0.00019548455020412803, -0.00017123868747148663, -0.0001712386729195714]","[{""uid"": ""distractor_pool_006_standard_spoon_a_rescale"", ""pose_xyz_qwxyz"": [0.7975180745124817, 0.3492395579814911, 0.9009466767311096, 0.5236379504203796, 0.0, 0.0, 0.8519410490989685]}, {""uid"": ""distractor_pool_008_standard_spoon_c_rescale"", ""pose_xyz_qwxyz"": [0.9799656867980957, -0.3170110881328583, 0.9028269648551941, 0.794931173324585, 0.0, 0.0, 0.6066996455192566]}]",8412ffd1d076f04d819e740130aa571fa98e9b56a7b4b12ebf1117afc28bd387,ca9888e5f0c452d8def9e9b60b040610225f651f2921cbaee2fc045a6c037fe7
