episode,seed,baseline_success,baseline_failure_stage,fx_zero_success,fx_zero_failure_stage,steps,initial_spoon_x_m,initial_spoon_y_m,original_cam_high_fx,fx_zero_cam_high_fx,max_fork_lift_m,max_spoon_lift_m,final_fork_target_xy_error_m,final_spoon_target_xy_error_m
1,209652396,True,success,True,success,140,0.5831655859947205,-0.2549879550933838,645.713623046875,606.315185546875,0.10563737154006958,0.10725820064544678,0.0006473839542761328,0.009152064092885423
2,398764591,True,success,True,success,140,0.5552103519439697,-0.2653360366821289,561.8948364257812,606.315185546875,0.10612845420837402,0.10722595453262329,0.014512054911610051,0.0006178632354867883
3,924231285,False,spoon_not_lifted,True,success,150,0.43819788098335266,-0.29988500475883484,648.9586181640625,606.315185546875,0.0985722541809082,0.08897209167480469,0.02312536191879181,0.02590761564024186
4,1478610112,True,success,True,success,140,0.47082048654556274,-0.2151951789855957,560.821044921875,606.315185546875,0.10588771104812622,0.10548871755599976,0.0030983824355459554,0.011975997141405308
5,441365315,True,success,True,success,170,0.4423225224018097,-0.28236159682273865,592.0455932617188,606.315185546875,0.10421109199523926,0.10668563842773438,0.012422302046065668,0.0017329173461729907
6,1537364731,True,success,True,success,140,0.5575116872787476,-0.16075892746448517,558.30029296875,606.315185546875,0.10357517004013062,0.09841686487197876,0.012698076978747846,0.013247147358140674
7,192771779,True,success,True,success,150,0.4894380271434784,-0.24295128881931305,632.4627685546875,606.315185546875,0.1053692102432251,0.10667479038238525,0.016299685983612706,0.0032130841126255744
8,1491434855,True,success,True,success,140,0.5629536509513855,-0.24138200283050537,614.2986450195312,606.315185546875,0.09767329692840576,0.10720771551132202,0.024125160932247303,0.005978392406529411
9,1819583497,True,success,True,success,170,0.600447952747345,-0.2503364086151123,607.2117309570312,606.315185546875,0.09680044651031494,0.10742747783660889,0.026025999875638535,0.00561235267731064
10,530702035,True,success,True,success,140,0.6128303408622742,-0.18733768165111542,579.2681274414062,606.315185546875,0.10555040836334229,0.10771572589874268,0.006204972026545863,0.013576552121247124
11,626610453,True,success,True,success,140,0.4760412871837616,-0.23657648265361786,637.7876586914062,606.315185546875,0.1045413613319397,0.09737324714660645,0.009646297583003727,0.008796508155674478
12,1650906866,False,both_lifted_but_not_placed,True,success,140,0.42144134640693665,-0.2506517171859741,585.703857421875,606.315185546875,0.10396504402160645,0.1073196530342102,0.01223058298332736,0.015420278155459042
13,1879422756,False,spoon_not_lifted,False,pick_failure,361,0.40242844820022583,-0.291733056306839,625.9396362304688,606.315185546875,0.018709778785705566,0.010681569576263428,0.056881828741808145,0.16528105394789383
14,1277901399,True,success,True,success,140,0.446000874042511,-0.2264687567949295,615.251220703125,606.315185546875,0.10541212558746338,0.09438145160675049,0.0021331631195755396,0.023913158564886412
15,1682652230,True,success,True,success,170,0.6253469586372375,-0.1702597588300705,603.1636962890625,606.315185546875,0.10476922988891602,0.10640031099319458,0.013663324107392964,0.017782945030334254
16,243580376,True,success,True,success,170,0.5285126566886902,-0.1923043578863144,621.5990600585938,606.315185546875,0.10491502285003662,0.1072656512260437,0.0013000220448831114,0.004478716918036341
17,1991416408,True,success,True,success,160,0.5492298007011414,-0.19310660660266876,593.8900146484375,606.315185546875,0.09964162111282349,0.10712933540344238,0.021356164250547482,0.002721128145895588
18,1171049868,True,success,True,success,140,0.621238112449646,-0.2822578251361847,631.4554443359375,606.315185546875,0.10541725158691406,0.10653096437454224,0.012999857124272323,0.0022419237895760515
19,1646868794,True,success,True,success,140,0.5031480193138123,-0.2861867845058441,618.9264526367188,606.315185546875,0.10341793298721313,0.09901350736618042,0.00545548451429215,0.013282752781474337
20,2051556033,True,success,True,success,170,0.5767244696617126,-0.2545655369758606,655.0841064453125,606.315185546875,0.10487455129623413,0.10701602697372437,0.0012479715067900794,0.0021620286615620246
