episode,seed,success,failure_stage,initial_spoon_x_m,initial_spoon_y_m,closest_step,min_right_link6_to_spoon_m,closest_spoon_minus_link6_x_m,closest_spoon_minus_link6_y_m,closest_spoon_minus_link6_z_m,max_spoon_lift_m
1,209652396,True,success,0.5831655859947205,-0.2549879550933838,51,0.13916711509227753,-0.001051783561706543,0.02054712176322937,-0.1376379132270813,0.10729724168777466
2,398764591,True,success,0.5552103519439697,-0.2653360366821289,68,0.1376606673002243,0.005844175815582275,-0.003290534019470215,-0.1374971866607666,0.10763603448867798
3,924231285,False,spoon_not_lifted,0.43819788098335266,-0.29988500475883484,52,0.164315328001976,-0.08556589484214783,-0.027897387742996216,-0.13747632503509521,0.0007439255714416504
4,1478610112,True,success,0.47082048654556274,-0.2151951789855957,51,0.13839353621006012,0.015410661697387695,-0.0014772266149520874,-0.13752490282058716,0.10306614637374878
5,441365315,True,success,0.4423225224018097,-0.28236159682273865,72,0.13775062561035156,0.008148014545440674,0.005164235830307007,-0.137412428855896,0.10635983943939209
6,1537364731,True,success,0.5575116872787476,-0.16075892746448517,51,0.13913583755493164,-0.017638683319091797,0.008680179715156555,-0.13774001598358154,0.1054951548576355
7,192771779,True,success,0.4894380271434784,-0.24295128881931305,51,0.13784435391426086,0.00375974178314209,0.007718965411186218,-0.13757669925689697,0.10704702138900757
8,1491434855,True,success,0.5629536509513855,-0.24138200283050537,51,0.13842399418354034,-0.0015662908554077148,0.013896793127059937,-0.13771575689315796,0.10768133401870728
9,1819583497,True,success,0.600447952747345,-0.2503364086151123,72,0.13777561485767365,-0.0031259655952453613,0.007108211517333984,-0.13755661249160767,0.10686326026916504
10,530702035,True,success,0.6128303408622742,-0.18733768165111542,51,0.1379946917295456,-0.007999420166015625,0.0036573410034179688,-0.13771408796310425,0.10727030038833618
11,626610453,True,success,0.4760412871837616,-0.23657648265361786,50,0.1385745257139206,0.013004779815673828,0.007583111524581909,-0.1377543807029724,0.08869421482086182
12,1650906866,False,both_lifted_but_not_placed,0.42144134640693665,-0.2506517171859741,51,0.1396460086107254,0.020431727170944214,0.00994342565536499,-0.1377848982810974,0.05603903532028198
13,1879422756,False,spoon_not_lifted,0.40242844820022583,-0.291733056306839,52,0.15774039924144745,-0.0765000581741333,-0.001948028802871704,-0.13793468475341797,3.790855407714844e-05
14,1277901399,True,success,0.446000874042511,-0.2264687567949295,139,0.12859565019607544,0.007057547569274902,0.0007271170616149902,-0.1283997893333435,0.09336209297180176
15,1682652230,True,success,0.6253469586372375,-0.1702597588300705,51,0.13799619674682617,-0.005932748317718506,0.007297217845916748,-0.13767534494400024,0.10703772306442261
16,243580376,True,success,0.5285126566886902,-0.1923043578863144,52,0.13847839832305908,0.004711449146270752,0.011562764644622803,-0.13791435956954956,0.06508880853652954
17,1991416408,True,success,0.5492298007011414,-0.19310660660266876,65,0.13768407702445984,0.004969477653503418,0.0003269314765930176,-0.13759398460388184,0.10663408041000366
18,1171049868,True,success,0.621238112449646,-0.2822578251361847,51,0.1385800987482071,0.01031804084777832,0.014013409614562988,-0.1374831199645996,0.10604804754257202
19,1646868794,True,success,0.5031480193138123,-0.2861867845058441,71,0.13805735111236572,0.014563530683517456,-0.0007519423961639404,-0.1372849941253662,0.10407596826553345
20,2051556033,True,success,0.5767244696617126,-0.2545655369758606,132,0.1391744613647461,0.0065937042236328125,-0.0003638416528701782,-0.13901770114898682,0.10798895359039307
